Neighborhood with Borough,School Rating,Population - White,Population - Black,Population - Asian,Population - Hispanic,Population - Hawaiian,Population - Indian,Average Rent
Chelsea * Manhattan,9,65052,5411,5479,5910,586,995,2648
Greenwich Village * Manhattan,9,13331,1848,3441,7040,842,538,5233
East Village * Manhattan,10,18848,5879,5858,1651,788,402,2602
Lower East Side * Manhattan,6,41944,2466,5923,8290,548,843,5622
Tribeca * Manhattan,10,44922,6418,1409,9771,544,536,3053
Little Italy * Manhattan,7,45609,4737,2669,4614,646,747,5055
Soho * Manhattan,8,16010,1389,5718,8400,275,751,3747
West Village * Manhattan,7,60234,6946,1029,9269,109,515,2839
Manhattan Valley * Manhattan,10,57562,5455,5275,2780,586,799,2354
Morningside Heights * Manhattan,8,32399,4496,5906,2176,722,231,2556
Gramercy * Manhattan,7,40740,2088,4893,4354,415,522,2386
Battery Park City * Manhattan,6,33217,5093,2277,4276,464,175,3885
Financial District * Manhattan,5,9767,5632,1923,5261,883,508,5555
Astoria * Queens,9,73547,1311,1722,2153,169,694,4998
Woodside * Queens,8,50340,6434,4853,8971,725,232,2936
Jackson Heights * Queens,5,35325,1401,4885,10170,828,951,3310
Elmhurst * Queens,8,38721,3219,2609,8889,497,843,5633
Howard Beach * Queens,10,28019,1889,1050,10650,822,623,3653
Corona * Queens,5,22727,2374,4877,12086,213,457,5655
Forest Hills * Queens,9,36361,2873,1266,3619,312,579,5947
Kew Gardens * Queens,8,69325,4035,6358,9638,997,944,2809
Richmond Hill * Queens,6,66762,3808,819,14456,954,889,4602
Flushing * Queens,8,70082,3998,3851,7909,926,227,5060
Long Island City * Queens,8,23013,5797,5966,2806,208,574,4518
Sunnyside * Queens,8,11058,6495,3134,13524,484,844,5598
East Elmhurst * Queens,7,13054,6516,646,5690,309,489,5934
Maspeth * Queens,5,46890,6738,2378,4463,839,789,4078
Ridgewood * Queens,7,61225,3932,5250,7056,625,838,3062
Glendale * Queens,8,33731,5055,1267,2720,348,885,2159
Rego Park * Queens,8,64677,4929,1325,4910,141,375,5329
Woodhaven * Queens,5,32120,3829,4180,3415,493,984,3101
Ozone Park * Queens,10,61488,5388,1742,8943,682,575,5260
South Ozone Park * Queens,5,11909,3591,6192,11852,885,619,2444
College Point * Queens,8,67245,2751,971,11155,569,399,1953
Whitestone * Queens,7,56627,2774,5525,9664,732,388,3158
Bayside * Queens,10,20245,1631,791,6962,220,430,4010
Auburndale * Queens,5,45635,4329,1860,14266,350,675,4789
Little Neck * Queens,7,25042,1902,3859,5204,230,342,3220
Douglaston * Queens,8,13231,1625,1947,13548,566,561,2273
Glen Oaks * Queens,9,19647,5073,1318,7437,840,438,5144
Bellerose * Queens,7,65616,4973,963,10642,556,675,3790
Kew Gardens Hills * Queens,8,20651,2325,6379,13627,930,796,5154
Fresh Meadows * Queens,6,30014,4856,5927,5559,202,607,5823
Briarwood * Queens,7,41582,3973,5305,11199,809,376,3123
Jamaica Center * Queens,6,27464,4672,2463,11849,661,299,3342
Oakland Gardens * Queens,5,33823,5565,2613,10715,642,403,3140
Queens Village * Queens,5,57245,4342,5773,4637,490,346,2213
Hollis * Queens,9,66091,2077,4368,7884,405,268,5535
South Jamaica * Queens,9,60887,4747,4992,1747,182,990,5403
St. Albans * Queens,10,61733,5370,1151,9455,422,411,3007
Rochdale * Queens,10,73038,2479,5575,12017,437,645,3260
Springfield Gardens * Queens,7,73098,6622,3479,12721,520,680,2777
Cambria Heights * Queens,8,23055,6979,1760,6127,550,914,4312
Rosedale * Queens,8,43339,4349,957,6520,525,784,5532
Far Rockaway * Queens,10,72898,3888,4066,1759,740,194,5559
Broad Channel * Queens,8,39604,2177,1687,11061,115,518,4351
Breezy Point * Queens,7,25776,2059,4617,7223,222,263,2225
Steinway * Queens,8,59069,5916,5902,10087,556,363,4710
Beechhurst * Queens,5,74381,6260,2420,5669,855,736,3940
Bay Terrace * Queens,6,30385,3380,1493,10986,935,883,5085
Edgemere * Queens,8,13497,4508,775,14168,860,987,5635
Arverne * Queens,5,42297,6521,2100,5446,227,697,5359
Rockaway Beach * Queens,6,52260,1927,3652,2543,489,421,2820
Neponsit * Queens,9,12388,1019,2020,7855,456,826,5079
Murray Hill * Queens,7,17654,2818,1892,10662,263,513,2395
Floral Park * Queens,6,17364,6710,2745,5608,774,352,2871
Holliswood * Queens,8,62980,2938,4442,6759,906,563,4196
Jamaica Estates * Queens,7,39902,6840,6337,12591,412,659,4029
Queensboro Hill * Queens,9,60184,5403,4771,3298,372,619,4019
Hillcrest * Queens,7,57147,4904,2598,10336,251,714,3404
Ravenswood * Queens,6,47829,5057,2404,11511,761,775,3415
Lindenwood * Queens,5,39627,906,2708,10493,819,821,4846
Laurelton * Queens,5,39832,5366,5035,14424,216,948,3639
Lefrak City * Queens,10,60797,1286,3149,2485,227,448,3524
Belle Harbor * Queens,9,55986,1187,1930,11561,893,546,2817
Rockaway Park * Queens,8,68276,962,3677,6691,631,308,4905
Somerville * Queens,5,41065,2234,5475,9524,955,588,5851
Brookville * Queens,6,40691,5354,4679,12181,259,334,2576
Bellaire * Queens,9,16729,4593,5176,6664,771,327,3622
North Corona * Queens,5,56135,4063,1979,11825,302,430,4656
Forest Hills Gardens * Queens,6,52028,6857,1027,6657,434,829,2967
St. George * Staten Island,7,10604,5567,4760,12467,893,785,2221
New Brighton * Staten Island,8,46477,4311,6055,3441,138,656,2258
Stapleton * Staten Island,9,71937,6457,4900,13432,836,458,2937
Rosebank * Staten Island,7,68445,6019,5937,2951,328,743,4827
West Brighton * Staten Island,6,28737,2876,5338,6480,771,526,3589
Grymes Hill * Staten Island,10,39385,3652,2629,3107,414,167,2257
Todt Hill * Staten Island,5,15327,6286,708,12420,477,203,3809
South Beach * Staten Island,7,19330,2968,2616,2078,397,910,3427
Port Richmond * Staten Island,9,27345,2395,4777,7950,835,311,3032
ariner's Harbor * Staten Island,8,52417,2460,4927,14196,594,617,3292
Port Ivory * Staten Island,8,74966,4445,2401,14801,504,900,3147
stleton Corners * Staten Island,8,58488,905,1002,11182,875,183,5741
New Springville * Staten Island,8,31075,1277,5342,11845,418,782,2638
Travis * Staten Island,9,47036,1869,4997,12928,704,508,5419
New Dorp * Staten Island,8,55279,5917,4305,12290,481,704,3986
Oakwood * Staten Island,7,58296,4323,5041,8099,458,453,3382
Great Kills * Staten Island,7,58252,6680,3397,9691,578,861,3043
Eltingville * Staten Island,9,20918,5698,6385,6829,775,582,3729
Annadale * Staten Island,10,22068,3737,3265,9005,95,257,3106
Woodrow * Staten Island,9,40812,3510,4308,6597,504,850,2320
Tottenville * Staten Island,5,64980,2811,5432,13209,856,986,4291
Tompkinsville * Staten Island,8,40801,3600,4081,9640,340,230,5515
Silver Lake * Staten Island,6,21106,4632,1500,8539,677,342,5357
Sunnyside * Staten Island,10,9185,5670,2282,9431,557,745,2015
Ditmas Park * Brooklyn,10,65165,3401,2537,5753,458,650,2461
Wingate * Brooklyn,6,37907,4297,6233,2856,922,188,5743
Rugby * Brooklyn,10,48599,3784,1291,12130,428,237,2151
Park Hill * Staten Island,6,33004,6949,4141,11827,391,732,5420
Westerleigh * Staten Island,6,17305,2548,989,3259,266,683,4899
Graniteville * Staten Island,5,35505,3250,1189,9855,816,342,4049
Arlington * Staten Island,8,50928,4205,4856,6257,348,785,5723
Arrochar * Staten Island,6,62893,1577,1427,12840,286,996,5369
Grasmere * Staten Island,8,51704,1198,1631,9696,752,995,4441
Old Town * Staten Island,6,42900,1088,1642,4601,778,925,5266
Dongan Hills * Staten Island,7,33098,4206,2983,14747,148,366,2926
Midland Beach * Staten Island,8,51342,6790,2328,5166,132,819,3664
Grant City * Staten Island,8,26595,5543,1625,14859,762,857,2982
New Dorp Beach * Staten Island,10,36775,5532,4941,10856,332,412,3986
Bay Terrace * Staten Island,9,9746,2153,5901,4139,404,220,4395
Huguenot * Staten Island,10,35976,5420,3172,5547,924,231,5974
Pleasant Plains * Staten Island,6,17409,2474,2957,12937,304,561,5822
Butler Manor * Staten Island,5,50486,4965,6365,14899,643,894,2782
Charleston * Staten Island,9,64269,3574,5353,8134,647,169,4835
Rossville * Staten Island,7,19520,3527,4266,12669,666,484,3157
Arden Heights * Staten Island,8,26044,6085,4804,4006,811,274,3001
Greenridge * Staten Island,9,52998,3852,4278,3435,649,289,3488
artland Village * Staten Island,9,16378,5709,5388,9288,741,973,2333
Chelsea * Staten Island,9,32239,2032,1427,10362,938,423,4481
Bloomfield * Staten Island,10,59855,1147,4551,13658,185,592,4210
Bulls Head * Staten Island,8,13689,1528,5530,4717,325,874,4015
Carnegie Hill * Manhattan,5,27278,1269,2104,1981,984,909,3867
Noho * Manhattan,8,11123,4316,3427,6871,697,488,3985
Civic Center * Manhattan,9,70871,2238,826,7353,628,888,4440
Midtown South * Manhattan,6,41091,2893,4447,12406,332,982,4712
Richmond Town * Staten Island,9,25169,1905,1764,9630,825,872,4982
Shore Acres * Staten Island,10,62543,1281,4430,1920,757,592,3694
Clifton * Staten Island,6,45153,1462,5410,9861,932,293,3296
Concord * Staten Island,5,74862,5532,2269,3340,990,378,5040
Emerson Hill * Staten Island,9,32938,4490,6273,13487,377,339,3023
Randall Manor * Staten Island,5,37932,4708,5952,11587,450,788,4578
Howland Hook * Staten Island,6,44838,6294,4731,13958,552,910,4195
Elm Park * Staten Island,5,27871,1928,2059,12650,779,689,5420
Remsen Village * Brooklyn,10,33122,2251,4879,2075,477,561,5792
New Lots * Brooklyn,7,27065,813,4707,13995,362,565,4976
Paerdegat Basin * Brooklyn,6,65335,4467,635,8341,940,337,3468
Mill Basin * Brooklyn,6,63546,5543,1046,10552,966,262,1888
Jamaica Hills * Queens,9,73350,4892,3094,4921,681,665,4623
Utopia * Queens,9,29150,1771,3513,10163,781,938,1805
Pomonok * Queens,8,35211,5612,4700,4563,256,587,1996
Astoria Heights * Queens,7,71656,5979,5824,8176,231,801,5977
Claremont Village * Bronx,8,36253,2087,5855,7670,898,629,4428
Concourse Village * Bronx,5,55148,3915,2055,7798,573,668,4115
Mount Eden * Bronx,9,59890,5470,2714,7173,932,981,4818
Mount Hope * Bronx,5,74467,2011,3950,7167,719,925,3934
Sutton Place * Manhattan,7,42180,664,4723,3059,595,363,4252
Hunters Point * Queens,6,44185,1208,5134,10245,402,799,2848
Turtle Bay * Manhattan,9,52900,2001,693,5475,423,992,2836
Tudor City * Manhattan,6,57272,983,3813,7352,952,898,2925
Stuyvesant Town * Manhattan,7,45336,6482,2324,2085,694,363,5226
Flatiron * Manhattan,6,24396,862,4010,14632,240,592,2004
Sunnyside Gardens * Queens,5,47903,1838,5994,6147,428,473,2824
Blissville * Queens,6,32437,3336,2744,4932,479,503,3022
Fulton Ferry * Brooklyn,10,35934,2524,6144,9871,421,220,5646
Vinegar Hill * Brooklyn,9,52498,4583,2624,4013,642,542,2624
Weeksville * Brooklyn,6,36215,3443,4276,3242,222,644,5892
Broadway Junction * Brooklyn,7,70892,6316,3992,7950,568,678,5968
Dumbo * Brooklyn,5,46143,5852,4567,6861,596,383,1833
Manor Heights * Staten Island,7,14932,4373,4467,4750,733,387,4243
Willowbrook * Staten Island,6,30162,6948,5813,14455,251,175,3943
Sandy Ground * Staten Island,7,61741,2952,2501,12349,488,814,1899
Egbertville * Staten Island,6,66460,2607,1679,1600,443,881,5384
Roxbury * Queens,9,18511,1237,5112,14442,850,257,2023
Homecrest * Brooklyn,9,25512,5016,4560,5129,662,944,2908
Middle Village * Queens,6,54137,6650,1674,3550,283,624,4231
Prince's Bay * Staten Island,7,50402,5312,3035,9658,801,271,3504
Lighthouse Hill * Staten Island,5,35316,3463,5312,4567,956,268,3087
Richmond Valley * Staten Island,9,69429,6139,4748,12450,861,784,4581
Malba * Queens,6,36185,2088,5948,12508,925,382,4208
Highland Park * Brooklyn,9,19664,1262,3935,11908,265,198,4862
Madison * Brooklyn,10,54472,2854,3738,11577,165,592,3183
Bronxdale * Bronx,10,33882,902,5074,6632,194,848,1974
Allerton * Bronx,10,23918,3184,1925,6382,438,436,5289
Kingsbridge Heights * Bronx,10,35722,6058,4816,8671,390,570,5175
Erasmus * Brooklyn,8,57091,1574,4831,7225,251,663,4052
Hudson Yards * Manhattan,5,55674,6855,5589,12005,295,426,2649
Hammels * Queens,7,28075,4710,1050,6263,414,208,3985
Bayswater * Queens,6,48852,4664,6222,13223,982,792,1973
Queensbridge * Queens,7,34129,3553,5573,11070,232,930,2235
Fox Hills * Staten Island,7,16540,4884,1733,8696,999,231,4316
305 Fox Hills * Staten Island,10,66026,2041,2176,11044,90,229,4833
,8,,,,,,,
